location,Basel,Basel,Basel,Basel
20210316T0800,2.7305286,81.0,18.733839,267.7974
20210316T0900,3.7005286,77.0,19.829433,273.12213
20210316T1000,4.020529,75.0,20.172853,272.0454
20210316T1100,4.9905286,69.0,19.35314,279.63754
20210316T1200,5.5105286,64.0,18.430452,282.4074
20210316T1300,6.2005286,59.0,17.309973,286.92752
20210316T1400,6.8105288,56.0,24.033876,286.53485
20210316T1500,7.1905284,56.0,25.420181,282.26477
20210316T1600,7.3905287,58.0,24.098497,283.82864
20210316T1700,7.4705286,59.0,20.774214,278.97263
20210316T1800,7.3205285,60.0,19.852295,274.15967
20210316T1900,6.2005286,70.0,20.16,270.0
20210316T2000,5.2605286,77.0,18.72,270.0
20210316T2100,4.7505283,81.0,16.203999,268.727
20210316T2200,4.3805285,84.0,15.496736,267.337
20210316T2300,3.8805285,86.0,14.512064,262.875
20210317T0000,3.3905284,88.0,12.371645,261.63412
20210317T0100,3.3205285,89.0,10.538843,262.14667
20210317T0200,3.2005286,89.0,5.1919937,213.69006
20210317T0300,3.2805285,89.0,4.198285,239.03624
20210317T0400,3.5605285,89.0,3.6179552,264.28943
20210317T0500,3.7505286,89.0,5.6920996,288.43497
20210317T0600,3.7505286,90.0,8.714677,308.29016
20210317T0700,3.5905285,91.0,12.475961,316.16913
20210317T0800,3.9205287,88.0,12.904882,329.8586
20210317T0900,4.7205286,83.0,14.799459,341.56506
20210317T1000,4.9505286,80.0,16.73516,341.1753
20210317T1100,6.1205287,74.0,17.555305,344.5388
20210317T1200,5.8905287,72.0,17.76081,342.29956
20210317T1300,6.0705285,69.0,17.902534,344.84595
20210317T1400,6.1505284,67.0,19.586117,342.89728
20210317T1500,6.5105286,65.0,20.364674,351.8699
20210317T1600,6.4205284,64.0,17.163355,350.34012
20210317T1700,6.3105288,64.0,15.893093,346.90814
20210317T1800,5.8705287,64.0,15.188415,354.5597
20210317T1900,5.3005285,68.0,11.570515,354.6442
20210317T2000,4.6405287,76.0,14.830076,354.4278
20210317T2100,4.4605284,74.0,14.4,360.0
20210317T2200,3.0405285,79.0,10.182337,8.130096
20210317T2300,1.8505287,82.0,7.0911775,23.962494
20210318T0000,1.1405287,84.0,2.9024127,29.744873
20210318T0100,0.90052867,87.0,3.2399998,270.0
20210318T0200,0.9605287,88.0,4.39436,325.008
20210318T0300,0.9605287,89.0,6.489992,326.30994
20210318T0400,0.49052867,92.0,5.6233797,320.19443
20210318T0500,-0.17947134,95.0,5.634891,333.43497
20210318T0600,-0.50947136,95.0,3.2399998,360.0
20210318T0700,-0.51947135,93.0,0.71999997,360.0
20210318T0800,0.18052867,90.0,1.609969,243.43495
20210318T0900,1.6005287,81.0,2.1897945,260.5377
20210318T1000,2.9805286,75.0,2.968636,345.96375
20210318T1100,4.1605287,66.0,6.379216,16.389526
20210318T1200,5.0005283,60.0,8.311245,17.650116
20210318T1300,5.7105284,56.0,10.594036,9.782394
20210318T1400,6.1105285,53.0,9.255571,13.495728
20210318T1500,6.1605287,50.0,9.779817,6.340164
20210318T1600,6.3205285,49.0,10.805999,358.09085
20210318T1700,6.1705284,49.0,11.966953,6.9112244
20210318T1800,5.7105284,49.0,11.726277,17.878693
20210318T1900,4.6205287,56.0,8.557102,14.620865
20210318T2000,3.6005285,63.0,6.1094027,44.999985
20210318T2100,2.2905285,70.0,7.2,89.99999
20210318T2200,1.5005287,75.0,6.6087217,119.35774
20210318T2300,1.7105286,71.0,5.1165614,129.2894
20210319T0000,1.5205287,72.0,4.1046314,127.874985
20210319T0100,1.3805287,73.0,3.6,126.869896
20210319T0200,1.4505286,75.0,5.904439,142.4314
20210319T0300,1.2405287,78.0,5.8603754,132.51044
20210319T0400,0.8205287,79.0,5.8048253,119.74488
20210319T0500,0.050528657,83.0,7.24486,116.56505
20210319T0600,-0.6094713,85.0,7.628263,109.29004
20210319T0700,-0.70947134,85.0,7.9036193,120.06859
20210319T0800,0.72052866,74.0,7.9036193,120.06859
20210319T0900,2.4805286,61.0,8.557102,104.620865
20210319T1000,3.9505286,57.0,6.12,61.927513
20210319T1100,5.4205284,54.0,7.289444,20.224854
20210319T1200,6.4005284,52.0,9.114471,9.090271
20210319T1300,6.2605286,52.0,14.113653,5.856003
20210319T1400,5.8305287,57.0,19.469976,3.1798248
20210319T1500,5.3305287,62.0,20.633371,6.0090027
20210319T1600,5.5105286,62.0,19.995398,23.33403
20210319T1700,5.6405287,60.0,22.238562,29.05458
20210319T1800,5.5305285,55.0,22.45315,41.099487
20210319T1900,4.3905287,62.0,16.575644,34.380325
20210319T2000,2.7805285,69.0,12.031756,38.927536
20210319T2100,2.1805286,70.0,9.220499,51.34018
20210319T2200,2.1005285,69.0,7.386582,46.97493
20210319T2300,2.0305285,68.0,7.491114,35.217575
20210320T0000,1.6205287,68.0,7.5685663,25.34616
20210320T0100,-0.059471346,77.0,6.8399997,360.0
20210320T0200,-1.2994714,85.0,5.3999996,360.0
20210320T0300,-1.2994714,85.0,5.3999996,323.13013
20210320T0400,-1.7394713,86.0,3.6,323.13013
20210320T0500,-1.8594713,86.0,3.0758414,249.44395
20210320T0600,-1.9694713,86.0,4.1046314,254.74487
20210320T0700,-2.1894715,85.0,5.4477882,262.40536
20210320T0800,-1.2694713,81.0,2.9024127,262.875
20210320T0900,0.050528657,74.0,1.1384199,341.56506
20210320T1000,0.7605287,72.0,5.315336,28.30075
20210320T1100,3.0805285,51.0,17.57744,55.007973
20210320T1200,4.040529,42.0,20.240198,51.499344
20210320T1300,4.540529,41.0,18.440998,51.34018
20210320T1400,5.1805286,36.0,20.111729,45.72522
20210320T1500,5.4905286,34.0,20.87379,44.999985
20210320T1600,5.5205283,32.0,20.88,43.602814
20210320T1700,5.2805285,31.0,19.85556,44.999985
20210320T1800,4.6805286,33.0,17.057314,44.144897
20210320T1900,3.4105287,41.0,14.57889,32.905228
20210320T2000,1.7905287,51.0,11.4862,32.195724
20210320T2100,0.47052866,61.0,7.8625183,74.054596
20210320T2200,-0.20947134,66.0,7.729527,117.75854
20210320T2300,-0.32947135,65.0,6.9527545,111.2505
